ticker,entry_date,exit_date,entry_price,exit_price,shares,pnl,mod_type,pct_return
CRM,2009-06-02,2009-06-23,9.924960076332091,9.365314885616304,152,-86.06606898879974,Zhan Module B (EMA Breakout),-0.056387651578605896
NVDA,2009-06-10,2009-06-23,0.2856427399814129,0.2661168892979622,49075,-959.2311222903429,Zhan Module B (EMA Breakout),-0.06835759482184377
MS,2009-06-15,2009-06-23,29.314649236679074,26.766610686302187,475,-1211.3183114290214,Zhan Module B (EMA Breakout),-0.0869203151572672
GS,2009-06-16,2009-06-23,144.01197244262696,138.27082633972168,166,-954.0302530822757,Zhan Module B (EMA Breakout),-0.039865755641896344
PFE,2009-06-18,2009-07-06,13.8968880944252,13.655407955169679,1395,-337.8647942614531,Zhan Module B (EMA Breakout),-0.017376562120579555
GS,2009-06-25,2009-07-06,141.64079232788086,142.58867366027832,175,164.8792331695551,Zhan Module B (EMA Breakout),0.006692149322373389
MSFT,2009-06-02,2009-07-08,21.370680610656738,22.298844466209413,1115,1033.9026989412332,Zhan Module B (EMA Breakout),0.04343164695886362
MRK,2009-06-26,2009-07-13,25.279809262275695,25.19731973552704,770,-64.51693559646517,Zhan Module B (EMA Breakout),-0.003263059696884372
BAC,2009-07-16,2009-07-21,13.206599809169768,12.273859733104706,71,-67.22454540061945,Zhan Module A (Keltner Breakout),-0.07062681458837203
AMZN,2009-07-16,2009-07-27,4.223110694646835,4.3098437979221345,2464,212.7103664703371,Zhan Module B (EMA Breakout),0.020537729069058264
MSFT,2009-07-16,2009-07-27,23.941965305328367,23.42828053379059,84,-44.14952080917314,Zhan Module A (Keltner Breakout),-0.021455413746817732
CRM,2009-07-16,2009-07-30,9.829912309169769,10.927033635616302,880,964.4667672729494,Zhan Module B (EMA Breakout),0.11161048969105156
PFE,2009-07-16,2009-07-30,14.210137826442718,15.134743753433229,406,374.39000635814733,Zhan Module B (EMA Breakout),0.06506664032983353
GS,2009-07-16,2009-08-11,155.0775,159.86003244018556,25,118.56331100463942,Zhan Module A (Keltner Breakout),0.03083962818710372
AAPL,2009-07-16,2009-08-18,5.208317082881927,5.7696137881278995,5276,2960.40141687775,Zhan Module B (EMA Breakout),0.10776930365679445
HD,2009-07-16,2009-08-18,24.08203469467163,26.916535305023196,312,883.3641904296883,Zhan Module B (EMA Breakout),0.11770187387773859
GOOGL,2009-07-16,2009-08-18,10.933391934871674,11.133070130348207,369,72.68125413084076,Zhan Module A (Keltner Breakout),0.01826315169765995
JPM,2009-07-16,2009-08-18,35.51775,41.67915076255799,50,307.07003812789947,Zhan Module A (Keltner Breakout),0.17347384793682
MS,2009-07-27,2009-08-18,28.344164923667908,28.835575381278993,532,260.4303634490973,Zhan Module B (EMA Breakout),0.01733727061405673
UNH,2009-08-19,2009-08-31,27.763875,27.956014313697818,696,132.72896233368195,Zhan Module B (EMA Breakout),0.0069204789928574055
MA,2009-07-16,2009-09-02,17.157574667930604,19.990000000000002,956,2706.798617458345,Zhan Module B (EMA Breakout),0.16508308352948703
BAC,2009-07-30,2009-09-02,13.87693488550186,16.14192461872101,1108,2508.6086244068174,Zhan Module B (EMA Breakout),0.16321974210497536
PFE,2009-08-18,2009-09-02,15.073947086334227,15.504577702999116,2289,984.7134815459304,Zhan Module B (EMA Breakout),0.028567873709420863
WMT,2009-09-03,2009-09-15,17.058524236679077,16.8315801525116,3010,-684.1016933441085,Zhan Module B (EMA Breakout),-0.013303852139770972
HD,2009-08-31,2009-09-24,27.513749999999998,27.02648091506958,969,-473.1637432975748,Zhan Module B (EMA Breakout),-0.01771002080524893
CRM,2009-09-04,2009-09-25,13.081537309169768,14.01798711872101,1407,1316.584882038597,Zhan Module B (EMA Breakout),0.0715856085885883
JPM,2009-09-15,2009-09-25,43.631805610656734,44.12792652511597,384,189.51043115234552,Zhan Module B (EMA Breakout),0.011370625338916971
BAC,2009-09-24,2009-09-28,17.558774236679078,16.70164408493042,1495,-1282.4095768642408,Zhan Module B (EMA Breakout),-0.04881491954934814
NKE,2009-09-29,2009-10-05,14.81490363550186,15.462265266895296,2140,1384.3538911819517,Zhan Module B (EMA Breakout),0.043696648140331
AMD,2009-10-06,2009-10-19,5.672835076332092,5.867064885616303,1566,303.1638813390747,Zhan Module B (EMA Breakout),0.03423857853625372
AAPL,2009-09-15,2009-10-28,6.218821834802627,7.057540383577347,5894,4942.4071264782,Zhan Module B (EMA Breakout),0.13486775647454116
CRM,2009-10-06,2009-10-28,14.249621555328368,14.692649809360505,1770,783.1600096368834,Zhan Module B (EMA Breakout),0.031090527724680222
AMD,2009-10-22,2009-10-28,5.762880228996276,4.97751001906395,2484,-1951.859601471898,Zhan Module B (EMA Breakout),-0.13628084893742698
MA,2009-10-30,2009-11-19,22.57928479385376,22.56571116447449,1167,-16.84042548560768,Zhan Module B (EMA Breakout),-0.0006011540889445925
BAC,2009-11-19,2009-11-30,16.248119771003722,15.842075381278992,1281,-521.1428632373795,Zhan Module B (EMA Breakout),-0.02499023859052013
MCD,2009-09-29,2009-12-03,57.208590305328364,62.59868606758118,529,2850.360658231738,Zhan Module B (EMA Breakout),0.09421829367731831
PFE,2009-10-28,2009-12-08,16.336437910079955,17.116673892974855,1160,904.073740158085,Zhan Module B (EMA Breakout),0.047760471847628265
LLY,2009-10-28,2009-12-09,34.17707984733581,36.481750000000005,1038,2391.2476184654333,Zhan Module B (EMA Breakout),0.06743320854089437
NVDA,2009-12-03,2009-12-14,0.34717350286245346,0.39155413286387925,77600,3442.9368881106407,Zhan Module B (EMA Breakout),0.12783415103833234
