ticker,entry_date,exit_date,entry_price,exit_price,shares,pnl,pct_return
CVX,2007-10-19,2007-10-22,92.7463469467163,88.11592366027833,179,-829.8457682723974,-0.049925667574790826
MA,2007-10-19,2007-10-23,15.332662309169768,14.825583683013917,755,-383.8443627476672,-0.03307179248659184
AMZN,2007-10-22,2007-10-23,4.464731345415115,5.038479389429093,3703,2123.589006983762,0.12850673414049135
MRK,2007-10-22,2007-10-23,51.23743605422973,53.75173617553711,224,562.2032271728528,0.04907154445913808
LLY,2007-10-19,2007-10-24,56.43820484733581,56.12192652511597,246,-78.80446726608167,-0.005603975588439968
MCD,2007-10-22,2007-10-24,56.05801377868652,57.12142652511597,245,259.5361228752151,0.01896986130524951
NFLX,2007-10-22,2007-10-24,0.32516248807311054,0.3605336315482855,29444,1040.4679484830513,0.1087799016571124
CRM,2007-10-23,2007-10-24,13.064028635501861,13.310841364383698,1055,259.38742897033796,0.018892543469410075
CVX,2007-10-23,2007-10-25,88.97446530532837,91.18438835525514,129,284.0800734405536,0.024837722175043264
COP,2007-10-23,2007-10-26,63.601361051559444,64.61974305725099,260,263.77932147980096,0.01601195302826892
AAPL,2007-10-26,2007-10-29,6.620808578252792,6.607051629304887,2596,-36.71303946876144,-0.0020778351745574003
COST,2007-10-25,2007-10-30,65.63279847335815,67.11642652511597,261,386.2269215087907,0.02260497931320203
CRM,2007-10-26,2007-10-30,12.878936669826507,13.43078125,926,510.00808124065554,0.042848613540152465
JNJ,2007-10-26,2007-10-30,64.21209030532836,64.78758969497682,154,87.62690600586228,0.008962477111583784
AMZN,2007-10-26,2007-11-01,4.452224809169769,4.380308921575547,3217,-232.35341039061169,-0.016152797910407496
NVDA,2007-10-29,2007-11-01,0.8309152566790581,0.8840577766895295,20790,1103.8329910177,0.06395660638470829
COP,2007-10-31,2007-11-01,63.63949656486511,63.400645421981814,275,-66.68406429290707,-0.0037531903263855544
CRM,2007-11-07,2007-11-09,13.036514732837677,11.906544131278991,1347,-1523.0704002995496,-0.08667735393359413
MSFT,2007-11-07,2007-11-09,36.058020915985104,34.162910305023196,406,-770.4149080505345,-0.0525572553018786
NKE,2007-12-10,2007-12-11,16.35817538166046,16.041974237442016,878,-278.6246046237929,-0.019329854145771267
NFLX,2007-12-10,2007-12-14,0.337168512403965,0.335831995472312,51178,-69.40026352813656,-0.00396394349556489
AMZN,2007-12-11,2007-12-14,4.657327709913254,4.45177299618721,3706,-762.7857690687184,-0.04413576336672955
MA,2007-12-27,2008-01-02,20.910449618339538,21.457266411781312,681,371.38223633384825,0.02615040821323076
JNJ,2007-12-27,2008-01-03,67.13354847335815,65.71712500000001,254,-360.77156223296674,-0.02109859385609927
