ticker,entry_date,exit_date,entry_price,exit_price,shares,pnl,pct_return
COP,2009-06-02,2009-06-08,36.60948974990845,34.10422765541077,286,-717.5049590263368,-0.06843204075260148
CRM,2009-06-02,2009-06-09,9.924960076332091,9.89005295753479,219,-8.644659016608996,-0.0035171042028213145
COST,2009-06-02,2009-06-10,49.54476045799255,46.5667051525116,46,-137.9905440521237,-0.060108380340358085
ORLY,2009-06-02,2009-06-12,2.485909396290779,2.401465712070465,1547,-131.6343794888251,-0.03396893078497223
UNH,2009-06-02,2009-06-12,27.733859313011166,23.78809923744202,44,-174.61344332504248,-0.14227230444332783
GOOGL,2009-06-02,2009-06-15,10.672250305652618,10.542773995399475,1712,-222.66344315338023,-0.01213205336690471
AMD,2009-06-02,2009-06-16,4.682339828252792,4.297850190639496,577,-222.85052090287218,-0.08211485106085697
LLY,2009-06-02,2009-06-16,34.51725,33.123429389953614,109,-152.92644649505576,-0.04038040718905426
MS,2009-06-02,2009-06-16,28.28413545799255,28.085950381278995,24,-5.7564418411253655,-0.00700693422317611
JPM,2009-06-04,2009-06-17,34.41720152664185,32.713634542465215,266,-454.14881779098414,-0.04949754508244739
NKE,2009-06-02,2009-06-18,14.754874169826508,14.067962309360505,944,-649.4447962799065,-0.046554911452293304
BAC,2009-06-02,2009-06-18,11.195594580173491,12.393799618721008,71,84.0725577368737,0.10702468993200619
GS,2009-06-02,2009-06-18,143.32162499999998,139.89002671051026,6,-21.589589736938365,-0.023943339251768378
CVX,2009-06-15,2009-06-22,71.99597908401489,67.04646183013917,268,-1327.4706240386945,-0.06874713444899393
XOM,2009-06-02,2009-06-23,71.47572244262695,69.24535877990724,142,-317.71164010619896,-0.031204492749408834
AMZN,2009-06-02,2009-06-23,4.123060312986373,3.946525668025017,1364,-241.79325572729027,-0.04281641100551612
NVDA,2009-06-08,2009-06-23,0.26888438692688943,0.2661168892979622,36988,-103.36420229876117,-0.010292518879795513
CRM,2009-06-10,2009-06-23,10.002499169826507,9.365314885616304,1183,-754.7890082206706,-0.0637025080824131
MS,2009-06-18,2009-06-23,27.553770915985105,27.686150762557986,337,43.612008295061024,0.004804418494169967
MS,2009-06-25,2009-07-06,27.423704847335813,26.836575381278994,202,-119.60015214347743,-0.02140956042683846
PFE,2009-06-25,2009-07-06,13.8968880944252,13.816617478847505,555,-45.550191645621275,-0.005776157585229236
NVDA,2009-06-25,2009-07-07,0.26888438692688943,0.2521238609403372,21729,-365.18946916179397,-0.062333578301478315
MSFT,2009-06-17,2009-07-08,23.51175,22.298844466209413,808,-981.0276713027936,-0.05158720783398029
GS,2009-06-22,2009-07-09,141.9409301147461,143.13840171051027,132,157.06625064087052,0.008436407981800075
MCD,2009-06-25,2009-07-24,56.23810408401489,56.36180438995362,329,39.697400653840944,0.0021995817240554314
ORLY,2009-07-16,2009-08-04,2.710021373391151,2.60602927839756,3541,-369.236008372306,-0.03837316414352182
GS,2009-07-16,2009-08-11,155.0775,159.86003244018556,77,367.25499789428943,0.03083962818710372
AMZN,2009-07-24,2009-08-12,4.3821901144981386,4.295850858926773,3585,-310.5262312233456,-0.019702307137638504
GOOGL,2009-07-16,2009-08-18,10.933391934871674,11.133070130348207,1816,361.61560298538427,0.01826315169765995
MS,2009-08-04,2009-08-18,29.19459030532837,28.765610686302185,430,-185.46123618125878,-0.014693805069355236
BAC,2009-07-16,2009-09-02,13.206599809169768,16.14192461872101,364,1067.458230676652,0.22226196386394256
UNH,2009-08-11,2009-09-02,27.073529465675353,27.35631583881378,410,114.94241298675563,0.010445124027768657
NKE,2009-08-18,2009-09-02,13.886940114498138,13.523234733104706,1314,-478.9088711509695,-0.02619046229008498
NFLX,2009-08-18,2009-09-02,0.6157366986572742,0.5952731960117817,20281,-416.02029715323255,-0.033234177352294975
MRK,2009-06-25,2009-09-03,24.334680562019347,29.403229263305665,551,2791.7703344087613,0.20828499015504306
JPM,2009-07-16,2009-09-03,35.51775,42.08894561004639,227,1490.66140348053,0.1850115958935008
JNJ,2009-06-02,2009-09-04,56.07802423667908,59.69014122009278,53,190.44220012092606,0.06441234391869166
NVDA,2009-08-12,2009-09-18,0.32416200095415115,0.38030973879992963,33519,1881.0160248526488,0.17320888222713032
MS,2009-09-18,2009-09-25,30.955470534324643,30.744620228767396,512,-108.95535644531083,-0.006811406898934022
MSFT,2009-09-03,2009-10-02,23.921954847335815,24.44776908493042,965,506.41073927879455,0.021980404233275512
CVX,2009-09-03,2009-10-02,68.45420816802978,68.18589122009277,264,-71.83567425537046,-0.003919656002424137
NVDA,2009-09-25,2009-10-02,0.36668324021995063,0.3453272423744202,37056,-792.367856163976,-0.05824099795976575
PFE,2009-09-02,2009-10-05,15.520090036869048,15.333884817600252,1542,-288.12844811248374,-0.011997689370773803
MS,2009-10-02,2009-10-05,29.294640686988828,29.8250801525116,387,204.28007315731267,0.018107048015726837
