ticker,entry_date,exit_date,entry_price,exit_price,shares,pnl,pct_return
MSFT,2009-08-11,2009-08-12,23.33165969467163,23.518235686302187,741,137.25280979824385,0.007996687508397347
GOOGL,2009-07-16,2009-08-18,10.933391934871674,11.133070130348207,1530,304.5076390790958,0.01826315169765995
CVX,2009-08-04,2009-08-18,70.00498622131347,66.52671755981446,246,-856.6540907287579,-0.04968601308630833
COP,2009-08-12,2009-08-18,33.28412794876098,32.45083037185669,513,-428.4816569519024,-0.02503588431660602
MS,2009-08-12,2009-09-02,29.78488545799255,27.416285305023194,374,-886.8564572105395,-0.07952356091178994
NKE,2009-08-18,2009-09-02,13.886940114498138,13.523234733104706,1221,-445.08427068138036,-0.02619046229008498
NFLX,2009-08-18,2009-09-02,0.6157366986572742,0.5952731960117817,21985,-450.8901056611517,-0.033234177352294975
MRK,2009-06-25,2009-09-03,24.334680562019347,29.403229263305665,600,3040.1292207717906,0.20828499015504306
JPM,2009-07-16,2009-09-03,35.51775,42.08894561004639,262,1720.6532498321537,0.1850115958935008
NVDA,2009-08-18,2009-09-18,0.32166075333952904,0.38030973879992963,23895,1400.417507576272,0.1823318040870645
MS,2009-09-18,2009-09-25,30.955470534324643,30.744620228767396,535,-113.80491347312753,-0.006811406898934022
MSFT,2009-09-03,2009-10-02,23.921954847335815,24.44776908493042,705,369.69903750419707,0.021980404233275512
CVX,2009-09-03,2009-10-02,68.45420816802978,68.18589122009277,205,-56.00497432708691,-0.003919656002424137
JNJ,2009-09-03,2009-10-02,59.86992015266418,59.79008969497681,195,-16.56693924903751,-0.0013333984325318903
PFE,2009-09-02,2009-10-05,15.520090036869048,15.333884817600252,1098,-205.45333075713822,-0.011997689370773803
MS,2009-10-02,2009-10-05,29.294640686988828,29.8250801525116,408,215.41930193329088,0.018107048015726837
GS,2009-10-05,2009-10-22,180.86038927459717,179.94997328948975,79,-72.92286282348618,-0.005033805294564258
CRM,2009-10-02,2009-10-28,13.631812499999999,14.692649809360505,915,969.6661380648633,0.07782070868129286
COP,2009-09-03,2009-10-29,33.97055573844909,38.12724718284607,288,1196.1271359863292,0.12236159680167623
MS,2009-10-22,2009-10-29,34.16707652664184,33.04347137260437,493,-554.9373409404728,-0.03288561001586826
XOM,2009-10-28,2009-11-02,74.55725664138794,72.11392652511597,258,-631.3791699981672,-0.032771191247340424
MS,2009-10-30,2009-11-23,33.15656938934326,32.60368893241883,345,-191.74375763892985,-0.016674839017034548
MCD,2009-09-25,2009-12-03,56.508239542007445,61.939016220092775,308,1671.6792168502816,0.09610592582782844
NFLX,2009-10-02,2009-12-07,0.6366041632890701,0.8135930104851723,25696,4546.905417551042,0.2780202477496756
AMZN,2009-10-05,2009-12-08,4.514756059169769,6.711642652511597,3801,8349.36594129229,0.48660139430563604
CVX,2009-10-30,2009-12-09,78.289125,76.87154866027832,244,-346.8886268920892,-0.01810693809289192
PFE,2009-11-06,2009-12-09,16.14658854675293,17.097709075927735,1183,1124.1755860137941,0.05890535492502375
NKE,2009-12-08,2009-12-09,16.008,15.479756440639497,1248,-660.2479620819072,-0.032998723098482174
XOM,2009-12-09,2009-12-11,73.03649999999999,72.79358683013916,269,-66.34364269256255,-0.003325914711970417
ORLY,2009-12-09,2009-12-16,2.531264971375465,2.5074126586914063,6472,-155.3721676912289,-0.00942308014126934
