ticker,entry_date,exit_date,entry_price,exit_price,shares,pnl,mod_type,pct_return
AMD,2007-10-19,2007-10-22,14.497244771003722,13.593200381278992,555,-502.744636297225,Zhan Module A (Keltner Breakout),-0.062359738281644386
COP,2007-10-19,2007-10-23,66.86570679473877,63.537791475296025,207,-689.8784711246483,Zhan Module B (EMA Breakout),-0.04977013597805261
UNH,2007-10-24,2007-10-29,49.274625,47.926025762557984,292,-394.7909773330688,Zhan Module B (EMA Breakout),-0.027369041112784043
JPM,2007-10-29,2007-11-02,47.413694389343256,44.427775762557985,349,-1043.0856007480595,Zhan Module B (EMA Breakout),-0.06297586942426465
GS,2007-10-19,2007-11-05,226.2630688934326,219.89000000000001,51,-326.02651356506203,Zhan Module B (EMA Breakout),-0.028166633311396624
MRK,2007-10-19,2007-11-05,50.70282134628295,52.45467461204529,190,331.8521204948437,Zhan Module B (EMA Breakout),0.03455139614022218
CRM,2007-10-24,2007-11-08,13.414204017162323,12.68115625,953,-699.5945221056929,Zhan Module B (EMA Breakout),-0.05464713122183399
MCD,2007-10-19,2007-11-12,56.37817347335815,58.51073091506958,295,628.1044453048709,Zhan Module B (EMA Breakout),0.037825940613687666
AMD,2007-11-07,2007-11-12,13.146570343494414,12.313839694976807,864,-720.4792803192128,Zhan Module B (EMA Breakout),-0.06334204486493197
COP,2007-11-07,2007-11-13,64.53185307312012,60.551008178710944,211,-840.9582727203357,Zhan Module B (EMA Breakout),-0.06168806108664717
COST,2007-10-23,2007-12-14,67.08352805328369,68.215875,245,276.42500194549615,Zhan Module B (EMA Breakout),0.016879657042141557
AAPL,2007-12-07,2007-12-18,6.808402328252792,6.531732347488403,2422,-671.0946934113498,Zhan Module B (EMA Breakout),-0.04063654987254394
GOOGL,2007-12-07,2007-12-18,17.90158929634094,16.862435154914856,767,-798.0312264738071,Zhan Module B (EMA Breakout),-0.0580481500398675
NKE,2007-12-26,2007-12-31,16.700845410346982,15.994499283790589,821,-580.9101699027992,Zhan Module B (EMA Breakout),-0.04229403417618476
NVDA,2007-12-26,2008-01-02,0.8966981345415115,0.8525734852254391,12748,-563.5010294812911,Zhan Module B (EMA Breakout),-0.049207919160703585
UNH,2007-11-07,2008-01-03,49.774874999999994,56.721625,328,2277.534000000003,Zhan Module B (EMA Breakout),0.1395633841370774
COP,2007-12-07,2008-01-07,63.68526147079467,65.71692673492431,149,301.7181243553168,Zhan Module B (EMA Breakout),0.03190165537847939
AAPL,2007-12-26,2008-01-07,7.111053826332092,6.46997754240036,2314,-1484.4505210180266,Zhan Module B (EMA Breakout),-0.09015207866348003
CVX,2007-12-07,2008-01-09,90.73534744262695,90.83455725479126,126,11.500436332704083,Zhan Module B (EMA Breakout),0.001093397611411029
COP,2009-06-02,2009-06-04,36.60948974990845,35.02617169570923,222,-352.49660803222633,Zhan Module A (Keltner Breakout),-0.043248842445371076
UNH,2009-06-02,2009-06-09,27.733859313011166,25.96700954246521,202,-357.9036536502832,Zhan Module B (EMA Breakout),-0.06370731713191644
COST,2009-06-02,2009-06-10,49.54476045799255,46.5667051525116,283,-843.789651451109,Zhan Module B (EMA Breakout),-0.060108380340358085
WMT,2009-06-02,2009-06-12,16.80172972011566,16.441775762557985,580,-209.77329538345145,Zhan Module B (EMA Breakout),-0.021423625040624512
JNJ,2009-06-02,2009-06-16,56.07802423667908,54.592688932418824,208,-309.94974328613273,Zhan Module B (EMA Breakout),-0.02648694073085294
BAC,2009-06-09,2009-06-17,12.146070343494415,12.553720419406892,1027,417.6566279621135,Zhan Module B (EMA Breakout),0.03356230158265294
CVX,2009-06-12,2009-06-17,71.22559744262695,69.40528244018554,237,-432.41465557861284,Zhan Module A (Keltner Breakout),-0.02555703381649679
